version,N,P,tiempo,speedup,eficiencia
ej1sec,512,1,0.277358,1.00000,1.00000
ej1sec,1024,1,2.210175,1.00000,1.00000
ej1sec,2048,1,17.645221,1.00000,1.00000
ej1pxp,512,1,0.306118,.90604,.90604
ej1pxp,512,2,0.152684,1.81654,.90827
ej1pxp,512,4,0.078848,3.51762,.87940
ej1pxp,1024,1,2.413679,.91568,.91568
ej1pxp,1024,2,1.237764,1.78561,.89280
ej1pxp,1024,4,0.641116,3.44738,.86184
ej1pxp,2048,1,19.309603,.91380,.91380
ej1pxp,2048,2,9.792550,1.80190,.90095
ej1pxp,2048,4,4.979745,3.54339,.88584
ej1col,512,1,0.280727,.98799,.98799
ej1col,512,2,0.139654,1.98603,.99301
ej1col,512,4,0.072338,3.83419,.95854
ej1col,1024,1,2.210661,.99978,.99978
ej1col,1024,2,1.116199,1.98009,.99004
ej1col,1024,4,0.581980,3.79768,.94942
ej1col,2048,1,17.683168,.99785,.99785
ej1col,2048,2,8.929228,1.97611,.98805
ej1col,2048,4,4.629297,3.81164,.95291
